Train Acc.	Valid Acc.	
80.920000	95.020000	
83.614000	94.980000	
78.746000	94.980000	
82.250000	95.110000	
83.818000	95.120000	
81.434000	95.130000	
80.582000	95.100000	
82.088000	95.080000	
81.730000	94.930000	
79.412000	95.010000	
79.520000	95.050000	
83.150000	95.100000	
80.704000	95.040000	
81.458000	95.100000	
82.556000	95.040000	
76.774000	94.990000	
78.966000	95.070000	
82.184000	95.000000	
82.588000	95.080000	
83.002000	94.990000	
79.362000	95.060000	
81.100000	94.980000	
84.292000	94.980000	
81.994000	94.980000	
82.256000	95.060000	
81.008000	95.090000	
83.218000	94.970000	
77.964000	95.040000	
81.558000	95.120000	
81.290000	95.060000	
79.954000	94.970000	
81.298000	94.920000	
80.406000	94.960000	
83.014000	95.070000	
85.002000	95.050000	
82.156000	95.050000	
81.400000	95.090000	
81.666000	95.010000	
81.296000	95.070000	
83.436000	94.970000	
82.762000	94.990000	
83.428000	95.150000	
82.056000	94.920000	
78.392000	95.030000	
82.388000	95.000000	
82.484000	95.060000	
81.814000	95.040000	
85.558000	95.050000	
80.628000	94.980000	
79.696000	95.010000	
79.338000	95.070000	
81.492000	95.100000	
82.548000	95.020000	
80.770000	95.050000	
80.046000	95.090000	
79.502000	95.050000	
